geo_code,variable,value
B2T,median_income,117000.0
B2V,population,12252.0
B2V,average_age,41.7
B2V,median_income,108000.0
B2W,population,33145.0
B2W,average_age,44.8
B2W,median_income,89000.0
B2X,population,12038.0
B2X,average_age,41.6
B2X,median_income,90000.0
B2Y,population,15420.0
B2Y,average_age,43.5
B2Y,median_income,66500.0
B2Z,population,8335.0
B2Z,average_age,44.4
B2Z,median_income,101000.0
B3A,population,21857.0
B3A,average_age,42.2
B3A,median_income,58000.0
B3B,population,1688.0
B3B,average_age,37.1
B3B,median_income,75500.0
B3E,population,7085.0
B3E,average_age,42.2
B3E,median_income,93000.0
B3G,population,11275.0
B3G,average_age,40.2
B3G,median_income,92000.0
B3H,population,20788.0
B3H,average_age,37.6
B3H,median_income,59600.0
B3J,population,9086.0
B3J,average_age,34.3
B3J,median_income,60800.0
B3K,population,23207.0
B3K,average_age,40.1
B3K,median_income,66500.0
B3L,population,18409.0
B3L,average_age,38.4
B3L,median_income,72500.0
B3M,population,37555.0
B3M,average_age,40.0
B3M,median_income,70000.0
B3N,population,14943.0
B3N,average_age,41.6
B3N,median_income,75000.0
B3P,population,11389.0
B3P,average_age,41.8
B3P,median_income,85000.0
B3R,population,9500.0
B3R,average_age,38.9
B3R,median_income,60000.0
B3S,population,13818.0
B3S,average_age,45.3
B3S,median_income,74500.0
B3T,population,17777.0
B3T,average_age,40.2
B3T,median_income,100000.0
B3V,population,6136.0
B3V,average_age,43.7
B3V,median_income,94000.0
B3Z,population,17841.0
B3Z,average_age,42.4
B3Z,median_income,115000.0
B4A,population,18541.0
B4A,average_age,41.9
B4A,median_income,98000.0
B4B,population,19570.0
B4B,average_age,39.1
B4B,median_income,116000.0
B4C,population,18425.0
B4C,average_age,42.9
B4C,median_income,82000.0
B4E,population,19718.0
B4E,average_age,39.2
B4E,median_income,97000.0
B4G,population,5430.0
B4G,average_age,39.7
B4G,median_income,113000.0
B4H,population,13723.0
B4H,average_age,46.5
B4H,median_income,59600.0
B4N,population,18024.0
B4N,average_age,44.7
B4N,median_income,64000.0
B4P,population,8780.0
B4P,average_age,45.9
B4P,median_income,64500.0
B4R,population,2858.0
B4R,average_age,44.0
B4R,median_income,84000.0
B4V,population,20376.0
B4V,average_age,47.9
B4V,median_income,65500.0
B5A,population,16753.0
B5A,average_age,46.5
B5A,median_income,58000.0
B6L,population,12989.0
B6L,average_age,43.4
B6L,median_income,81000.0
B9A,population,4472.0
B9A,average_age,45.8
B9A,median_income,69000.0
C0A,population,48140.0
C0A,average_age,43.1
C0A,median_income,77500.0
C0B,population,29902.0
C0B,average_age,44.4
C0B,median_income,73500.0
C1A,population,25861.0
C1A,average_age,43.0
C1A,median_income,60400.0
C1B,population,14817.0
C1B,average_age,40.1
C1B,median_income,90000.0
C1C,population,5239.0
C1C,average_age,41.1
C1C,median_income,77000.0
C1E,population,12681.0
C1E,average_age,41.7
C1E,median_income,84000.0
C1N,population,17691.0
C1N,average_age,45.0
C1N,median_income,65000.0
E1A,population,48336.0
E1A,average_age,41.4
E1A,median_income,78000.0
E1B,population,20584.0
E1B,average_age,43.9
E1B,median_income,79500.0
E1C,population,25834.0
E1C,average_age,42.8
E1C,median_income,53600.0
E1E,population,11936.0
E1E,average_age,43.3
E1E,median_income,71500.0
E1G,population,24784.0
E1G,average_age,39.7
E1G,median_income,95000.0
E1H,population,7883.0
E1H,average_age,44.7
E1H,median_income,77500.0
E1J,population,3736.0
E1J,average_age,42.6
E1J,median_income,95000.0
E1N,population,11333.0
E1N,average_age,46.5
E1N,median_income,66000.0
E1V,population,13811.0
E1V,average_age,46.5
E1V,median_income,68500.0
E1W,population,6940.0
E1W,average_age,51.2
E1W,median_income,62400.0
E1X,population,14082.0
E1X,average_age,47.8
E1X,median_income,61600.0
E2A,population,17408.0
E2A,average_age,49.1
E2A,median_income,59200.0
E2E,population,19840.0
E2E,average_age,42.3
E2E,median_income,107000.0
E2G,population,5528.0
E2G,average_age,41.3
E2G,median_income,101000.0
E2H,population,4748.0
E2H,average_age,42.6
E2H,median_income,87000.0
E2J,population,16058.0
E2J,average_age,43.9
E2J,median_income,62000.0
E2K,population,18798.0
E2K,average_age,42.8
E2K,median_income,58000.0
E2L,population,8221.0
E2L,average_age,41.8
E2L,median_income,44800.0
E2M,population,18836.0
E2M,average_age,44.3
E2M,median_income,73500.0
E2N,population,4310.0
E2N,average_age,43.5
E2N,median_income,89000.0
E2P,population,1337.0
E2P,average_age,43.2
E2P,median_income,77000.0
E2R,population,10.0
E2R,average_age,
E2R,median_income,
E2S,population,6970.0
E2S,average_age,41.5
E2S,median_income,90000.0
E2V,population,14545.0
E2V,average_age,36.8
E2V,median_income,89000.0
E3A,population,29462.0
E3A,average_age,42.5
E3A,median_income,74000.0
E3B,population,39788.0
E3B,average_age,40.0
E3B,median_income,74500.0
E3C,population,12321.0
E3C,average_age,42.3
E3C,median_income,102000.0
E3E,population,4719.0
E3E,average_age,41.5
E3E,median_income,102000.0
E3G,population,9122.0
E3G,average_age,40.9
E3G,median_income,92000.0
E3L,population,8439.0
E3L,average_age,46.0
E3L,median_income,62000.0
E3N,population,13467.0
E3N,average_age,48.6
E3N,median_income,56000.0
E3V,population,12142.0
E3V,average_age,49.9
E3V,median_income,55600.0
E3Y,population,7113.0
E3Y,average_age,45.8
E3Y,median_income,67000.0
E3Z,population,3965.0
E3Z,average_age,46.4
E3Z,median_income,62800.0
E4A,population,3001.0
E4A,average_age,50.9
E4A,median_income,54800.0
E4B,population,4263.0
E4B,average_age,49.1
E4B,median_income,58000.0
E4C,population,2451.0
E4C,average_age,51.4
E4C,median_income,62800.0
E4E,population,9163.0
E4E,average_age,45.1
E4E,median_income,61200.0
E4G,population,2714.0
E4G,average_age,44.4
E4G,median_income,71500.0
E4H,population,4208.0
E4H,average_age,46.9
E4H,median_income,62800.0
E4J,population,5001.0
E4J,average_age,44.4
E4J,median_income,71000.0
E4K,population,6398.0
E4K,average_age,44.5
E4K,median_income,78000.0
E4L,population,7746.0
E4L,average_age,44.5
E4L,median_income,69000.0
E4M,population,1937.0
E4M,average_age,51.4
E4M,median_income,56800.0
E4N,population,3895.0
E4N,average_age,47.8
E4N,median_income,75000.0
E4P,population,15900.0
E4P,average_age,48.3
E4P,median_income,74500.0
E4R,population,6883.0
E4R,average_age,48.5
E4R,median_income,78000.0
E4S,population,7276.0
E4S,average_age,49.5
E4S,median_income,67000.0
E4T,population,2192.0
E4T,average_age,48.1
E4T,median_income,58000.0
E4V,population,4518.0
E4V,average_age,45.2
E4V,median_income,77500.0
E4W,population,8603.0
E4W,average_age,45.2
E4W,median_income,60400.0
E4X,population,3090.0
E4X,average_age,50.8
E4X,median_income,62000.0
E4Y,population,3059.0
E4Y,average_age,51.3
E4Y,median_income,54400.0
E4Z,population,5871.0
E4Z,average_age,44.3
E4Z,median_income,64000.0
E5A,population,1622.0
E5A,average_age,47.1
E5A,median_income,61600.0
E5B,population,3331.0
E5B,average_age,50.2
E5B,median_income,73000.0
E5C,population,4356.0
E5C,average_age,44.7
E5C,median_income,72500.0
E5E,population,949.0
E5E,average_age,46.7
E5E,median_income,66000.0
E5G,population,2734.0
E5G,average_age,43.0
E5G,median_income,76500.0
E5H,population,2912.0
E5H,average_age,44.3
E5H,median_income,67500.0
E5J,population,2112.0
E5J,average_age,45.6
E5J,median_income,74000.0
E5K,population,7261.0
E5K,average_age,43.2
E5K,median_income,93000.0
E5L,population,2902.0
E5L,average_age,45.7
E5L,median_income,67000.0
E5M,population,2170.0
E5M,average_age,49.8
E5M,median_income,66000.0
E5N,population,12263.0
E5N,average_age,43.1
E5N,median_income,83000.0
E5P,population,2682.0
E5P,average_age,44.1
E5P,median_income,72000.0
E5R,population,1517.0
E5R,average_age,47.6
E5R,median_income,65500.0
E5S,population,1887.0
E5S,average_age,47.4
E5S,median_income,77000.0
E5T,population,3149.0
E5T,average_age,45.0
E5T,median_income,66500.0
E5V,population,718.0
E5V,average_age,48.1
E5V,median_income,60400.0
E6A,population,1237.0
E6A,average_age,48.2
E6A,median_income,62000.0
E6B,population,1574.0
E6B,average_age,46.7
E6B,median_income,61200.0
E6C,population,2104.0
E6C,average_age,43.2
E6C,median_income,73500.0
E6E,population,1492.0
E6E,average_age,45.2
E6E,median_income,61200.0
E6G,population,2655.0
E6G,average_age,47.6
E6G,median_income,72000.0
E6H,population,1216.0
E6H,average_age,50.0
E6H,median_income,65500.0
E6J,population,1234.0
E6J,average_age,48.8
E6J,median_income,55200.0
E6K,population,4086.0
E6K,average_age,46.2
E6K,median_income,74000.0
E6L,population,4823.0
E6L,average_age,44.1
E6L,median_income,73500.0
E7A,population,3705.0
E7A,average_age,48.0
E7A,median_income,63200.0
E7B,population,5641.0
E7B,average_age,46.6
E7B,median_income,71500.0
E7C,population,5061.0
E7C,average_age,47.6
E7C,median_income,62800.0
E7E,population,4097.0
E7E,average_age,46.9
E7E,median_income,62000.0
E7G,population,3621.0
E7G,average_age,48.9
E7G,median_income,57200.0
E7H,population,5601.0
E7H,average_age,45.2
E7H,median_income,54800.0
E7J,population,1904.0
E7J,average_age,45.6
E7J,median_income,63200.0
E7K,population,2406.0
E7K,average_age,44.2
E7K,median_income,64000.0
E7L,population,5099.0
E7L,average_age,44.3
E7L,median_income,66500.0
E7M,population,10438.0
E7M,average_age,43.3
E7M,median_income,65000.0
E7N,population,3157.0
E7N,average_age,42.6
E7N,median_income,73000.0
